Paths,Accumulated Latency [s],Accumulated Noise [W],Accumulated SNR [dB]
C->A->D,0.004275651521592262,8.551303043184525e-07,30.679677026582116
C->D,0.0018027756377319946,3.60555127546399e-07,34.43028323846582
C->E->D,0.0036717102294323454,7.343420458864693e-07,31.34101604879875
C->E->F->B->A->D,0.010667807337941343,2.133561467588269e-06,26.708948406650595
C->E->F->B->D,0.009057649921317827,1.811529984263566e-06,27.41954473171017
C->E->F->D,0.006812658591156278,1.3625317182312558e-06,28.656533790384945
C->A->B->D->E,0.00810497128736746,1.6209942574734925e-06,27.902185236783154
C->A->B->D->F->E,0.011245919649091394,2.249183929818279e-06,26.47975028139772
C->A->B->F->D->E,0.010131981829864677,2.026396365972936e-06,26.93275602056492
C->A->B->F->E,0.009367805353635282,1.8735610707270568e-06,27.273321460463006
C->A->D->B->F->E,0.01156553448994372,2.3131068979887444e-06,26.358042962679132
C->A->D->E,0.0061795947980582385,1.235918959611648e-06,29.080100054181944
C->A->D->F->E,0.00932054315978217,1.8641086319564346e-06,27.29528782494622
C->D->A->B->F->E,0.010702816022706969,2.140563204541394e-06,26.694719442004708
C->D->B->F->E,0.009092658606083453,1.8185317212166912e-06,27.402791190089314
C->D->E,0.0037067189141979716,7.413437828395945e-07,31.299803502301586
C->D->F->E,0.006847667275921903,1.369533455184381e-06,28.634273542647094
C->E,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
C->A->B->D->E->F,0.011197300506580707,2.239460101316142e-06,26.49856670630587
C->A->B->D->F,0.008153590429878147,1.6307180859756299e-06,27.876211120973974
C->A->B->F,0.006275476134422036,1.2550952268844075e-06,29.013233220383363
C->A->D->B->F,0.008473205270730474,1.6946410541460953e-06,27.70922276642025
C->A->D->E->F,0.009271924017271484,1.8543848034542972e-06,27.31800140376912
C->A->D->F,0.0062282139405689255,1.2456427881137853e-06,29.04606482069235
C->D->A->B->F,0.007610486803493723,1.522097360698745e-06,28.175575671042953
C->D->B->F,0.006000329386870207,1.2000658773740419e-06,29.207949127900925
C->D->E->F,0.006799048133411217,1.3598096266822436e-06,28.665218885919867
C->D->F,0.003755338056708658,7.510676113417318e-07,31.243209659106853
C->E->D->A->B->F,0.009479421395194074,1.8958842790388152e-06,27.221881746501914
C->E->D->B->F,0.00786926397857056,1.5738527957141121e-06,28.030358901463977
C->E->D->F,0.005624272648409009,1.124854529681802e-06,29.489036384783397
C->E->F,0.004860096172179614,9.72019234435923e-07,30.123251411161796
D->A,0.001903943276465977,3.807886552931955e-07,34.19315998882512
D->B->A,0.0038293197657751988,7.6586395315504e-07,31.158483708916314
D->B->F->E->C->A,0.011429358166444113,2.2858716332888225e-06,26.409481617445998
D->C->A,0.004174483882858279,8.34896776571656e-07,30.783672156978156
D->C->E->F->B->A,0.010566639699207361,2.1133279398414726e-06,26.750331052133596
D->E->C->A,0.00604341847455863,1.2086836949117263e-06,29.176873364653247
D->E->F->B->A,0.008900040384974973,1.7800080769949952e-06,27.495780270245902
